Generation;Generation max fitness;Generation min fitness;Generation average fitness;Global max fitness
4380;8508;8369;8485.966666666667;8508
4390;8508;8311;8491.666666666666;8508
4400;8509;8341;8499.033333333333;8509
4410;8521;8419;8512.4;8521
4420;8532;8435;8524.9;8532
4430;8533;8469;8530.333333333334;8533
4440;8533;8438;8520.6;8533
4450;8533;8451;8525.033333333333;8533
4460;8533;8394;8520.3;8533
4470;8534;8534;8534.0;8534
4480;8534;8415;8529.433333333332;8534
4490;8534;8446;8526.833333333334;8534
4500;8534;8148;8494.666666666666;8534
4510;8534;8398;8507.666666666666;8534
4520;8534;8382;8509.2;8534
4530;8534;8410;8519.333333333334;8534
4540;8534;8408;8529.466666666667;8534
4550;8534;8326;8527.033333333333;8534
4560;8534;8436;8526.566666666668;8534
4570;8538;8447;8530.866666666667;8538
4580;8556;8483;8543.633333333333;8556
4590;8556;8492;8548.2;8556
4600;8561;8496;8552.6;8556
4610;8561;8471;8557.133333333333;8561
4620;8561;8466;8557.233333333334;8561
4630;8561;8443;8551.033333333333;8561
4640;8561;8455;8557.466666666667;8561
4650;8561;8446;8552.4;8561
4660;8561;8478;8549.4;8561
4670;8565;8469;8554.0;8565
4680;8568;8464;8558.666666666666;8568
4690;8569;8372;8554.733333333334;8568
4700;8571;8429;8560.766666666666;8571
4710;8571;8496;8565.033333333333;8571
4720;8571;8492;8565.2;8571
4730;8571;8542;8569.3;8571
4740;8571;8404;8560.433333333332;8571
4750;8571;8432;8549.066666666668;8571
4760;8571;8424;8539.066666666668;8571
4770;8571;8400;8547.0;8571
4780;8571;8502;8566.0;8571
4790;8571;8518;8567.633333333333;8571
4800;8571;8489;8562.633333333333;8571
4810;8571;8540;8569.966666666667;8571
4820;8594;8457;8583.7;8594
4830;8594;8375;8567.766666666666;8594
4840;8594;8459;8576.766666666666;8594
4850;8594;8556;8592.4;8594
4860;8594;8533;8590.8;8594
4870;8594;8508;8589.0;8594
4880;8594;8449;8579.033333333333;8594
4890;8594;8511;8586.633333333333;8594
4900;8595;8474;8590.266666666666;8595
4910;8595;8469;8586.0;8595
4920;8595;8489;8590.133333333333;8595
4930;8595;8480;8579.933333333332;8595
4940;8595;8497;8588.766666666666;8595
4950;8595;8395;8570.5;8595
4960;8595;8429;8568.0;8595
4970;8601;8488;8591.966666666667;8601
4980;8601;8455;8583.7;8601
4990;8601;8601;8601.0;8601
5000;8606;8556;8603.333333333334;8606
5010;8606;8580;8603.866666666667;8606
5020;8606;8468;8585.966666666667;8606
5030;8606;8439;8597.233333333334;8606
5040;8607;8456;8592.566666666668;8607
5050;8607;8508;8596.333333333334;8607
5060;8607;8507;8588.866666666667;8607
5070;8607;8530;8600.233333333334;8607
5080;8607;8370;8580.3;8607
5090;8607;8225;8562.866666666667;8607
5100;8607;8448;8593.033333333333;8607
5110;8607;8360;8577.533333333333;8607
5120;8612;8433;8589.866666666667;8612
5130;8624;8434;8608.833333333334;8624
5140;8624;8511;8613.1;8624
5150;8624;8516;8620.4;8624
5160;8624;8488;8602.2;8624
5170;8624;8493;8606.4;8624
5180;8624;8492;8611.5;8624
5190;8624;8422;8591.566666666668;8624
5200;8624;8184;8552.0;8624
5210;8624;8165;8571.333333333334;8624
5220;8624;8515;8609.433333333332;8624
5230;8624;7885;8541.066666666668;8624
5240;8624;8429;8607.4;8624
5250;8624;8567;8616.0;8624
5260;8624;8553;8616.633333333333;8624
5270;8624;8520;8616.366666666667;8624
5280;8624;8558;8615.833333333334;8624
5290;8674;8611;8648.4;8674
5300;8679;8624;8672.333333333334;8679
5310;8679;8580;8667.433333333332;8679
5320;8679;8568;8667.733333333334;8679
5330;8679;8459;8669.966666666667;8679
5340;8680;8503;8662.166666666666;8679
5350;8680;8565;8668.166666666666;8680
5360;8680;8642;8677.533333333333;8680
5370;8680;8561;8668.733333333334;8680
5380;8680;8664;8679.033333333333;8680
5390;8680;8547;8675.366666666667;8680
5400;8681;8636;8678.4;8681
5410;8681;8648;8678.6;8681
5420;8681;8586;8671.6;8681
5430;8681;8645;8676.533333333333;8681
5440;8683;8612;8679.233333333334;8683
5450;8690;8534;8673.166666666666;8690
5460;8694;8562;8682.0;8694
5470;8694;8545;8687.0;8694
5480;8695;8547;8671.466666666667;8695
5490;8695;8647;8689.7;8695
5500;8695;8177;8647.966666666667;8695
5510;8697;8163;8600.566666666668;8697
5520;8699;7842;8614.4;8699
5530;8699;8584;8690.166666666666;8699
5540;8699;8581;8682.233333333334;8699
5550;8700;8608;8696.933333333332;8700
5560;8700;8677;8699.233333333334;8700
5570;8701;8565;8692.066666666668;8701
5580;8701;8534;8688.766666666666;8701
5590;8701;8476;8660.433333333332;8701
5600;8701;8282;8607.066666666668;8701
5610;8701;8065;8621.066666666668;8701
5620;8701;8446;8654.8;8701
5630;8701;8357;8674.766666666666;8701
5640;8704;8359;8645.433333333332;8704
5650;8714;8498;8687.133333333333;8711
5660;8714;8637;8711.433333333332;8714
5670;8714;8653;8709.866666666667;8714
5680;8714;8539;8702.6;8714
5690;8714;8632;8710.433333333332;8714
5700;8714;8552;8699.0;8714
5710;8739;8656;8732.333333333334;8739
5720;8739;8583;8722.533333333333;8739
5730;8739;8622;8732.233333333334;8739
5740;8739;8541;8728.5;8739
5750;8739;8673;8730.566666666668;8739
5760;8739;8402;8714.466666666667;8739
5770;8739;8699;8736.933333333332;8739
5780;8739;8590;8712.8;8739
5790;8747;8735;8746.6;8747
5800;8747;8596;8736.2;8747
5810;8747;8684;8743.4;8747
5820;8750;8590;8736.233333333334;8749
5830;8750;8594;8735.433333333332;8750
5840;8750;8658;8745.066666666668;8750
5850;8750;8572;8727.166666666666;8750
5860;8750;8532;8709.866666666667;8750
5870;8750;8249;8701.8;8750
5880;8750;8614;8743.5;8750
5890;8752;8542;8741.433333333332;8752
5900;8752;8621;8746.5;8752
5910;8752;8664;8749.066666666668;8752
5920;8763;8717;8761.166666666666;8763
5930;8763;8590;8747.166666666666;8763
5940;8763;8578;8749.7;8763
5950;8763;8533;8739.933333333332;8763
5960;8763;8713;8761.1;8763
5970;8763;8620;8754.0;8763
5980;8763;8727;8761.8;8763
5990;8763;8656;8759.433333333332;8763
6000;8763;8646;8747.633333333333;8763
6010;8763;8650;8751.233333333334;8763
6020;8764;8754;8763.666666666666;8764
6030;8764;8673;8759.733333333334;8764
6040;8765;8664;8758.9;8765
6050;8765;8680;8756.733333333334;8765
6060;8765;8681;8759.433333333332;8765
6070;8784;8628;8753.8;8779
6080;8784;8491;8744.566666666668;8784
6090;8784;8656;8763.566666666668;8784
6100;8784;8556;8764.6;8784
6110;8790;8752;8782.0;8784
6120;8790;8652;8780.3;8790
6130;8790;8703;8782.833333333334;8790
6140;8793;8705;8789.966666666667;8793
6150;8793;8624;8779.5;8793
6160;8793;8637;8776.333333333334;8793
6170;8793;8614;8777.5;8793
6180;8793;8656;8784.5;8793
6190;8793;8658;8781.266666666666;8793
6200;8793;8652;8781.3;8793
6210;8793;8716;8789.066666666668;8793
6220;8793;8702;8783.166666666666;8793
6230;8795;8656;8779.6;8795
6240;8804;8667;8788.6;8804
6250;8804;8714;8793.733333333334;8804
6260;8811;8240;8672.3;8811
6270;8811;8394;8766.033333333333;8811
6280;8811;8580;8785.366666666667;8811
6290;8811;8372;8760.066666666668;8811
6300;8811;8623;8777.133333333333;8811
6310;8811;8352;8762.333333333334;8811
6320;8811;8472;8748.366666666667;8811
6330;8811;8518;8766.466666666667;8811
6340;8811;8714;8796.8;8811
6350;8811;8688;8802.066666666668;8811
6360;8811;8665;8801.366666666667;8811
6370;8811;8680;8800.366666666667;8811
6380;8812;8683;8800.4;8812
6390;8812;8702;8800.4;8812
6400;8812;8640;8794.966666666667;8812
6410;8812;8419;8737.5;8812
6420;8812;8498;8783.366666666667;8812
6430;8812;8616;8781.7;8812
6440;8812;8736;8807.566666666668;8812
6450;8812;8768;8810.533333333333;8812
6460;8812;8566;8785.0;8812
6470;8815;8768;8808.833333333334;8815
6480;8817;8712;8810.033333333333;8817
6490;8826;8678;8804.233333333334;8826
6500;8826;8711;8803.466666666667;8826
6510;8826;8593;8771.366666666667;8826
6520;8826;8756;8823.366666666667;8826
6530;8843;8584;8797.466666666667;8843
6540;8847;8669;8826.266666666666;8847
6550;8847;8839;8846.533333333333;8847
6560;8847;8534;8789.7;8847
6570;8847;8762;8842.733333333334;8847
6580;8847;8385;8773.1;8847
6590;8847;8563;8804.8;8847
6600;8847;8499;8802.2;8847
6610;8847;8675;8822.633333333333;8847
6620;8847;8767;8832.733333333334;8847
6630;8847;8742;8829.033333333333;8847
6640;8849;8587;8836.533333333333;8849
6650;8849;8703;8838.066666666668;8849
